Comment,Designator,Footprint,LCSC,Quantity
SW_Push,"SW1,SW2",ALPSALPINE-SKSCLBE010_C115361,C115361,2
100nF,"C1,C2,C3,C4,C5",C_0402_1005Metric,C1525,5
1N5819WS,D1,D_SOD-323,C191023,1
10uF,"C6,C7",C_0603_1608Metric,C19702,2
100k,R2,R_0402_1005Metric,C25741,1
5.1k,"R1,R3,R4,R5,R6",R_0402_1005Metric,C25905,5
ESP32-C3-MINI-1,U1,ESP32-C3-MINI-1,C2838502,1
AP2112K-3.3,U4,SOT-23-5,C51118,1
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_GCT_USB4110,C5187472,1
AP3415E,Q1,SOT-23,C5189719,1
Battery,BT2,BatteryHolder_BH-AAA-B5AK001_C964882,C964882,1
WS2812-2020,D2,LED_WS2812B-2020_PLCC4_2.0x2.0mm,C965555,1
TMP102xxDRL,U2,SOT-563,C99269,1
