Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT2,Battery,BatteryHolder_BH-AAA-B5AK001_C964882,139.1,-76.759924,180.0,bottom
C1,100nF,C_0402_1005Metric,136.578595,-73.664927,90.0,top
C2,100nF,C_0402_1005Metric,136.578595,-71.434925,90.0,top
C3,100nF,C_0402_1005Metric,116.114999,-75.344923,-90.0,top
C4,100nF,C_0402_1005Metric,120.62,-82.659923,180.0,top
C5,100nF,C_0402_1005Metric,136.578595,-78.184926,-90.0,top
C6,10uF,C_0603_1608Metric,163.87548,-73.810028,90.0,top
C7,10uF,C_0603_1608Metric,157.834847,-73.618026,90.0,top
D1,1N5819WS,D_SOD-323,166.350001,-75.459925,-90.0,top
D2,WS2812-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,113.529999,-75.344923,90.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4110,157.86,-82.474924,0.0,top
Q1,AP3415E,SOT-23,166.6,-78.984925,270.0,top
R1,5.1k,R_0402_1005Metric,136.578595,-75.934926,-90.0,top
R2,100k,R_0402_1005Metric,163.262499,-76.459923,180.0,top
R3,5.1k,R_0402_1005Metric,146.75,-82.034924,0.0,top
R4,5.1k,R_0402_1005Metric,148.75,-82.034924,180.0,top
R5,5.1k,R_0402_1005Metric,155.049999,-78.009923,180.0,top
R6,5.1k,R_0402_1005Metric,159.425001,-78.159925,180.0,top
SW1,SW_Push,ALPSALPINE-SKSCLBE010_C115361,139.175,-85.672424,180.0,top
SW2,SW_Push,ALPSALPINE-SKSCLBE010_C115361,145.145,-85.677424,180.0,top
U1,ESP32-C3-MINI-1,ESP32-C3-MINI-1,144.103595,-75.459925,0.0,top
U2,TMP102xxDRL,SOT-563,120.62,-80.409925,-90.0,top
U4,AP2112K-3.3,SOT-23-5,160.804914,-73.630537,90.0,top
